===========================================================================



	R-Code for ERS-7



	Copyright (C) 2004 Sony Corporation

	All Rights Reserved.



===========================================================================


---------------------------------------------------------------------------
MWCID   Action Name                         Start pose 
---------------------------------------------------------------------------
2000    L_CHGPOS.M_STAND.S_NORMAL           stand
2001    L_CHGPOS.M_SIT.S_NORMAL             sit
2002    L_CHGPOS.M_LIE.S_NORMAL             sleep
2010    L_CHGPOS.M_STAND.S_NORMAL           standf
2011    L_CHGPOS.M_STAND.S_QUICK            stand
2012    L_CHGPOS.M_STAND.S_QUICK            sit
2013    L_CHGPOS.M_STAND.S_QUICK            sleep
2014    L_CHGPOS.M_STAND.S_SLOW             stand
2015    L_CHGPOS.M_STAND.S_SLOW             sit
2016    L_CHGPOS.M_STAND.S_SLOW             sleep
2020    L_CHGPOS.M_SIT.S_NORMAL             sitf
2021    L_CHGPOS.M_SIT.S_QUICK              stand
2022    L_CHGPOS.M_SIT.S_QUICK              sit
2023    L_CHGPOS.M_SIT.S_QUICK              sleep
2024    L_CHGPOS.M_SIT.S_SLOW               stand
2025    L_CHGPOS.M_SIT.S_SLOW               sit
2026    L_CHGPOS.M_SIT.S_SLOW               sleep
2030    L_CHGPOS.M_LIE.S_NORMAL             sleepf
2031    L_CHGPOS.M_LIE.S_QUICK              standi3
2032    L_CHGPOS.M_LIE.S_QUICK              sit
2033    L_CHGPOS.M_LIE.S_QUICK              sleep
2034    L_CHGPOS.M_LIE.S_SLOW               standi3
2035    L_CHGPOS.M_LIE.S_SLOW               sit
2036    L_CHGPOS.M_LIE.S_SLOW               sleep
2124    E_MOVEPOS.M_LIE.S_SLEEPG1           sleepg1
2125    E_MOVEPOS.M_LIE.S_SLEEPG3           sleepg3
2126    E_MOVEPOS.M_STAND.S_STANDB          standb
2127    E_MOVEPOS.M_LIE.S_SLEEPM1           sleepm1
2128    E_MOVEPOS.M_LIE.S_SLEEPM            sleepm
2129    L_CHGPOS.M_STAND.S_FAIL             sleepb
2130    L_CHGPOS.M_STAND.S_FAIL             sleepi1
2131    L_CHGPOS.M_STAND.S_SUCCESS          sleepi1
2133    E_MOVEPOS.M_LIE.S_SLEEPC            sleepc
2134    E_MOVEPOS.M_LIE.S_SLEEPC1           sleepc1
2135    E_MOVEPOS.M_LIE.S_SLEEPC2           sleepc2
2136    E_MOVEPOS.M_LIE.S_SLEEPC3           sleepc3
2137    E_MOVEPOS.M_LIE.S_SLEEPC4           sleepc4
2138    E_MOVEPOS.M_LIE.S_SLEEPB            sleepb
2169    L_POBJ.M_BONE.S_SLEEPM2SLEEP        sleepm
2170    L_POBJ.M_BONE.S_SLEEPM2SLEEP        sleepm
2171    E_MOVEPOS.M_STANDARD.S_TAKEPHOTO    stand
2172    E_MOVEPOS.M_STANDARD.S_TAKEPHOTO    sit
2173    E_MOVEPOS.M_STANDARD.S_TAKEPHOTO    sleep
2200    L_SMESS.M_MODE.S_NORMAL             any
2208    L_SMESS.M_MODE.S_CLEAR              any
2210    L_SMESS.M_SWARN.S_MECHALOADH        any
2211    L_SMESS.M_SWARN.S_CLEAR             any
2212    L_SMESS.M_NOTICE.S_NOTICE1          any
